name,model_type,metric_type,metric_value,train_time
1_Default_Xgboost,Xgboost,logloss,0.08089074631823033,9.38
2_Xgboost,Xgboost,logloss,0.11697538699724606,7.99
3_Xgboost,Xgboost,logloss,0.08059381169631483,7.63
4_Xgboost,Xgboost,logloss,0.08027124237483112,1.43
5_Xgboost,Xgboost,logloss,0.07668837879200156,1.32
6_Xgboost,Xgboost,logloss,0.07691383981513807,1.41
7_Xgboost,Xgboost,logloss,0.07668837879200156,1.39
8_Xgboost,Xgboost,logloss,0.08027124237483112,1.35
9_Xgboost,Xgboost,logloss,0.08027124237483112,1.3
10_Xgboost,Xgboost,logloss,0.07828949473849081,1.58
11_Xgboost,Xgboost,logloss,0.07144925524017855,1.38
12_Xgboost,Xgboost,logloss,0.07828949473849081,1.59
Ensemble,Ensemble,logloss,0.07144924125494144,1.06
